condition,gene_a,gene_b,lfc,base_lfc_a,base_lfc_b,guide_pairs,pair_z_score_gene_a_anchor,pair_z_score_gene_b_anchor,pair_z_score,p_value,fdr_bh
MOLM13_14,RAX,SCD,-2.421067596120952,0.281867156218242,-2.0969690999020973,3,-0.8027681324102983,-1.5173363077290813,-1.6405615826835735,0.10088845520628985,0.35916381228007943
MOLM13_14,ACACA,SEPSECS,-3.138612831882865,-0.6685931429786102,-2.8419402435751944,9,-2.1115201795438505,-1.4520018041817349,-2.519790559599699,0.011742468058844593,0.10485217273562512
MOLM13_14,C12orf49,SEPSECS,-2.633748548112716,-0.19947245333408023,-2.8419402435751944,9,2.303618514383175,0.20020980699557053,1.770473984973841,0.07664821440385321,0.3084532511689044
MOLM13_14,CXorf66,SEPSECS,-1.7285437057638156,-0.17900311338716657,-2.8419402435751944,3,5.879782347117544,2.0179142392208305,5.584514811953713,2.3435354489006035e-08,2.5903878495181335e-06
MOLM13_14,FASN,SEPSECS,-2.344488457318964,0.043576943275232725,-2.8419402435751944,9,0.4436777982309776,1.1067180758567028,1.0962954360910435,0.2729495060205547,0.5694836254542749
MOLM13_14,GPX4,SEPSECS,-3.197640893893223,-2.9514065201068966,-2.8419402435751944,9,1.0503487003134575,-0.37499883160416797,0.4775444718377832,0.6329744609415443,0.8429154367528946
MOLM13_14,GPX6,SEPSECS,-2.9621540856144173,0.05127182161231262,-2.8419402435751944,3,0.6581362603504611,-0.5259307129919696,0.09348343904766862,0.9255195058014626,0.9675284223327301
MOLM13_14,GSX2,SEPSECS,-2.829652541834532,-0.9657306780424616,-2.8419402435751944,3,-0.927303934213983,-0.07691875409324214,-0.7100926727234236,0.47764666980861015,0.7306003565486349
MOLM13_14,NDST4,SEPSECS,-3.1030078329220347,-0.0324461139714797,-2.8419402435751944,3,-1.1600229185783606,-0.8455657221770057,-1.41816532814883,0.15614250194138307,0.4426393031624603
MOLM13_14,OPN5,SEPSECS,-2.0638074020071637,-0.8086096961838045,-2.8419402435751944,3,1.93147686323273,1.429360490984295,2.376470883631913,0.01747914082223559,0.13093068439648822
MOLM13_14,PRSS37,SEPSECS,-3.3416780848914254,-0.15603680183552116,-2.8419402435751944,3,-2.3299277146090884,-1.5066352637948823,-2.7128596984787055,0.006670534244867888,0.07276148538151947
MOLM13_14,PSTK,SEPSECS,-2.69588900323748,-1.8248427098480413,-2.8419402435751944,9,0.9074531936224698,0.7747232029035335,1.1894783371354876,0.2342514905834867,0.5257784137569536
MOLM13_14,PTEN,SEPSECS,-2.5013306017119956,0.45563184846039523,-2.8419402435751944,9,0.8281188901960977,0.32419453529590087,0.8148086372176917,0.4151818561463718,0.6932240860933379
MOLM13_14,RAX,SEPSECS,-3.6144778327841967,0.281867156218242,-2.8419402435751944,3,-2.8502563159975653,-2.027818974920332,-3.449320117346585,0.000562000029481088,0.0143353238289176
MOLM13_14,ACACA,SLC1A5,-0.8495691156956338,-0.6685931429786102,-0.01626083141008842,9,-1.0020664306361184,-2.2319071766907004,-2.2867646679191145,0.022209562814107634,0.15343106310746024
MOLM13_14,C12orf49,SLC1A5,-0.433000916150125,-0.19947245333408023,-0.01626083141008842,9,-1.206696175408833,-2.365912216859521,-2.526215620696922,0.011529869221120058,0.10389414765552749
MOLM13_14,CXorf66,SLC1A5,0.1621178664326166,-0.17900311338716657,-0.01626083141008842,3,-0.5412210642964214,1.1433885706584705,0.42579672715879846,0.6702559719794712,0.864835664128746
MOLM13_14,FASN,SLC1A5,0.34444960553239956,0.043576943275232725,-0.01626083141008842,9,0.8697633934838472,1.6463977773609642,1.7791946264626493,0.07520785905342661,0.3045345185046075
MOLM13_14,GPX4,SLC1A5,-2.8776592158308048,-2.9514065201068966,-0.01626083141008842,9,-0.010814762992317428,-1.5715741000893868,-1.1189178955591443,0.26317516768069926,0.5607060532708694
MOLM13_14,GPX6,SLC1A5,-0.20746300195489167,0.05127182161231262,-0.01626083141008842,3,0.09401581516708754,0.5445884525233635,0.4515614081785872,0.6515849769782731,0.8574030887539499
MOLM13_14,GSX2,SLC1A5,0.13999814080032338,-0.9657306780424616,-0.01626083141008842,3,0.9786039790362222,3.671144931245896,3.287868985275245,0.001009488058586685,0.022435315567859368
MOLM13_14,NDST4,SLC1A5,-0.15787758565035268,-0.0324461139714797,-0.01626083141008842,3,-0.6047126418909439,0.0013570663578994758,-0.42663681892612787,0.6696438758238673,0.864835664128746
MOLM13_14,OPN5,SLC1A5,-0.21724083536282368,-0.8086096961838045,-0.01626083141008842,3,-0.7894107507162617,0.04616084044503943,-0.5255570516690742,0.5991960039019806,0.822406435819109
MOLM13_14,PRSS37,SLC1A5,0.16420097688675828,-0.15603680183552116,-0.01626083141008842,3,0.013977195063290832,0.9795127416632448,0.7025034712999273,0.48236523766362516,0.7357512088742323
MOLM13_14,PSTK,SLC1A5,-1.6633249473522602,-1.8248427098480413,-0.01626083141008842,9,-0.38036212600439523,-0.33327629566718303,-0.5046185672792378,0.613826766289782,0.8314744922454728
MOLM13_14,PTEN,SLC1A5,0.42453597066022897,0.45563184846039523,-0.01626083141008842,9,0.3480185887325134,-0.5408864399106296,-0.1363781654409238,0.8915223338503339,0.9576253522484999
MOLM13_14,RAX,SLC1A5,0.25429464373429916,0.281867156218242,-0.01626083141008842,3,1.8850670617676255,2.007152532794894,2.752214869182312,0.005919366828451053,0.06748826668025582
MOLM13_14,ACACA,SLC25A11,-0.7128063262067966,-0.6685931429786102,-0.2740806165890204,9,1.1223001127524805,0.6803913902677654,1.2746953861729855,0.20241708053704133,0.4878016272244397
MOLM13_14,C12orf49,SLC25A11,-0.669455441540325,-0.19947245333408023,-0.2740806165890204,9,-1.1913118988774059,-2.6249179063984065,-2.6984819738767443,0.006965651023019651,0.07403236792414476
MOLM13_14,CXorf66,SLC25A11,-0.06632679633973575,-0.17900311338716657,-0.2740806165890204,3,-0.2520031684818598,1.6538310749226655,0.9912420187008347,0.32156741748152984,0.6170701601910543
MOLM13_14,FASN,SLC25A11,-0.15659500113450767,0.043576943275232725,-0.2740806165890204,9,-0.8162855737676115,0.12389763962057891,-0.4895922034471114,0.6244224945895859,0.839841799212629
MOLM13_14,GPX4,SLC25A11,-3.221648289747144,-2.9514065201068966,-0.2740806165890204,9,-1.461174589336011,-2.9504687523458233,-3.1195029230797062,0.001811564633965403,0.031193254997201537
MOLM13_14,GPX6,SLC25A11,-0.495233226712872,0.05127182161231262,-0.2740806165890204,3,-0.083756196726474,0.6744677826013334,0.4176961680975727,0.6761692743121968,0.8675530858482806
MOLM13_14,GSX2,SLC25A11,-0.4141483800763452,-0.9657306780424616,-0.2740806165890204,3,-0.6134465667623573,2.9079777779783753,1.6224785790950287,0.1047009160482415,0.36253841663774383
MOLM13_14,NDST4,SLC25A11,-0.262490049998051,-0.0324461139714797,-0.2740806165890204,3,0.2090035257944315,0.8601104171634097,0.7559777189265773,0.4496625546561248,0.7136253737551252
